,Price,PrivPer,F,G,H,J,K,Age,Mileage,Dispacement,Diesel,LPG,Doors5,FirstOwner,ServDealership,ABS,ElecWin,PowSteer,ParkingSens,MultiSteer,AAWheels,CruContr,OnBoardComp,Native
66,28900.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,179000.0,1700.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
67,29899.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,133486.0,1700.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,27900.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,136300.0,1700.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
71,8800.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,202000.0,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
72,11900.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,211000.0,1400.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,57900.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3000.0,1398.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
74,15500.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,97000.0,1400.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
75,11900.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,223164.0,1910.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,14990.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,232000.0,1910.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
79,4300.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,190000.0,1600.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
80,16900.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,177000.0,1400.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
82,5500.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,267401.0,1686.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
83,24600.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,252000.0,1910.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,39900.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,105000.0,1598.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
86,19995.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,219000.0,1956.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
87,53900.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,59643.0,1364.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
88,21900.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,152364.0,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,28700.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,107500.0,1598.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
91,30900.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,169900.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
92,14900.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,165000.0,1600.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
93,39900.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,71237.0,1686.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
94,3500.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,168100.0,1598.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
95,33000.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,175000.0,1364.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
96,12900.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,171241.0,1900.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97,26900.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,163000.0,1700.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
98,21900.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,148000.0,1598.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
